product_name	brands	nutrition_grade_fr	pnns_groups_1	energy_100g	fat_100g	saturated_fat_100g	carbohydrates_100g	sugars_100g	fiber_100g	proteins_100g	nutrition_score_fr_100g	sel_100g
Quaker Chewy Granola Bar S'mores	Quaker	C	a renseigner	96.08030592734225	1.09	2.0	24.380000000000003	32.0	4.0	4.0	3.0	0.3
Purée De Pomme	Botanic	B	a renseigner	63.09751434034417	0.5890000000000001	0.0	13.2	14.0	1.5	0.0	1.0	0.0
Passata	Palazzo	B	a renseigner	47.08413001912046	0.985	0.0	8.049	7.5	0.0	2.0	2.0	0.5
Ici tea peach flavor	arizona	E	boissons	27.724665391969406	0.0	0.0	8.3	8.0	0.02	0.01	10.0	0.01
Pomegranate Green Tea	Arizona	E	boissons	30.83173996175908	0.0	0.0	9.0	8.7	0.06	0.02	11.0	0.01
Arizona blueberry white tea	Arizona	B	a renseigner	29.875717017208412	0.0	0.0	8.8	8.5	0.0	0.01	1.0	0.01
Original Green tea	Arizona	D	boissons	22.94455066921606	0.05	0.0	5.87	6.7	0.0	0.01	9.0	0.01
Lite Half Ice-Tea & Half Lemonade	Arizona	D	boissons	20.076481835564053	0.0	0.0	6.0	5.7	0.05	0.02	7.0	0.01
Original Green tea with honey	AriZona	D	boissons	22.94455066921606	0.0	0.0	6.8	6.7	0.0	0.01	9.0	0.01
Arizona Lite Half Iced Tea & Half Lemonade	Arizona	D	boissons	20.076481835564053	0.0	0.0	6.0	5.7	0.05	0.02	7.0	0.01
Arizona Fruit Punch	Arizona	B	a renseigner	34.655831739961755	0.0	0.0	8.9	8.4	0.003	0.0	1.0	0.01
Watermelon	Arizona	E	boissons	34.894837476099426	0.0	0.0	8.9	8.9	0.05	0.01	11.0	0.01
Strawberry Lemonade	AriZona	E	boissons	35.13384321223709	0.02	0.0	9.1	8.8	0.05	0.04	11.0	0.01
Cowboy cocktail Mucho mango	Arizona	E	boissons	33.93881453154876	0.01	0.01	8.425	8.6	0.0	0.01	11.0	0.01
Watermelon	Arizona	E	boissons	34.894837476099426	0.012	0.01	8.495000000000001	8.4	0.0	0.01	11.0	0.01
Cowboy Cocktail Fruit Punch	Arizona	E	boissons	34.894837476099426	0.012	0.0	8.495000000000001	8.4	0.0	0.0	11.0	0.0
Arizona Original Green Tea With Honey	Arizona	B	a renseigner	22.94455066921606	0.292	0.0	7.93	6.7	0.0	0.01	1.0	0.01
Arizona Pomegranate	Arizona	E	boissons	31.070745697896747	0.001	0.0	7.909999999999999	8.7	0.0	0.0	11.0	0.0
Coca-Cola Zero	Coca-Cola	E	boissons	0.0	0.0	0.0	0.0	0.0	0.0	0.28	10.0	8.59
Voss Artesian Water From Norway Sparkling	Voss	B	a renseigner	0.0	0.0	0.0	29.7	0.0	0.0	0.0	0.0	0.0
Crema A Base Di &quot;aceto Balsamici Di Modena IGP&quot;	Giuseppe Giusti	B	a renseigner	30.11472275334608	0.35	0.0	5.066	5.0	0.0	0.0	1.0	0.0
Blair's Original Death Sauce	Blair's	C	a renseigner	0.0	0.8699999999999999	0.0	1.44	0.0	0.0	0.0	10.0	2.4
Chinchin Lychee Grass Jelly Drink 24 11 FL Oz	Chin Chin	C	a renseigner	39.913957934990435	0.4	0.0	7.970000000000001	9.2	0.0	0.0	4.0	0.5
